system,cent,eps2,eps3,tau_life,eps_p,R,censored,ep_tau3,R_tau3,uT,series_tau,series_ep,series_area
PbPb,00-05,0.107189,0.004055,10.428325859491785,0.04158954932086404,0.3880020274549071,false,0.011214798257642478,0.10462639130547423,0.28814884303572175,0.4;0.65;0.9;1.15;1.4;1.65;1.9;2.15;2.4;2.65;2.9;3.15;3.4;3.65;3.9;4.15;4.4;4.65;4.9;5.15;5.4;5.65;5.9;6.15;6.4;6.65;6.9;7.15;7.4;7.65;7.9;8.15;8.4;8.65;8.9;9.15;9.4;9.65;9.9;10.15;10.4;10.65;10.9;11.15;11.4;11.65;11.9;12.15;12.4;12.65;12.9;13.15;13.4;13.65;13.9;14.15;14.4;14.65;14.9;15.15;15.4;15.65;15.9,0.0;3.650394455746561e-5;0.00024003429238985202;0.0006790232194872901;0.0013936411457657893;0.0024015632617684995;0.003697657193094176;0.005260996162911874;0.007059551320145112;0.009057854925531928;0.011214798257642478;0.013486444801681223;0.01583663831985975;0.018224974417444254;0.020593294349973285;0.02292311770007007;0.02517511045276197;0.02732254274253157;0.029344291883647355;0.031223857378461273;0.03295099722554162;0.034520166717581235;0.035930318495280014;0.03718338360043773;0.038284833833397924;0.0392421173448346;0.04006376218182414;0.0407575095788916;0.04133237229375972;0.04179589581703638;0.042156229037140384;0.04241924242569332;0.04259156180472524;0.04267933305283269;0.042688597627971295;0.04262731630075404;0.04250503864990019;0.042332467969614804;0.042119277082219436;0.041878021757495824;0.041619795531554274;0.04135284678548879;0.041084063994807886;0.04082013261842033;0.04056220301033;0.04031249691470202;0.04007346759471296;0.03984301825360601;0.039621419749124046;0.03941081503757324;0.03920590207049254;0.039009220854088075;0.03882172357201059;0.03863792282575086;0.0384614557082942;0.03829249755977103;0.03812555197080872;0.03796605789816543;0.03781078004145011;0.03765867035701409;0.03751445604335749;0.03746326326637001;0.037649298686190616,205.0047999999816;198.06719999998236;195.0463999999827;194.32959999998278;194.9183999999827;196.55679999998253;199.14239999998225;201.83039999998195;205.31199999998157;209.40799999998112;213.45279999998067;218.16319999998015;222.79679999997964;227.43039999997913;232.1407999999786;236.7999999999781;241.76639999997755;246.47679999997703;251.1871999999765;255.71839999997601;260.22399999997555;263.85919999997515;268.0831999999747;271.25759999997433;274.252799999974;276.8639999999737;278.6815999999735;280.01279999997337;280.31999999997333;279.6031999999734;278.0927999999736;275.2767999999739;271.3599999999743;265.83039999997493;258.8927999999757;249.5231999999767;239.4623999999778;228.09599999997906;215.44959999998045;201.446399999982;186.44479999998364;169.31839999998553;149.83679999998768;126.71999999999022;97.12639999999348;51.99359999999845;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PbPb,05-10,0.159308,0.001392,9.69494875549049,0.07667263614748654,0.4812855358644044,false,0.027513430170642186,0.1727058915474564,0.309764617197141,0.4;0.65;0.9;1.15;1.4;1.65;1.9;2.15;2.4;2.65;2.9;3.15;3.4;3.65;3.9;4.15;4.4;4.65;4.9;5.15;5.4;5.65;5.9;6.15;6.4;6.65;6.9;7.15;7.4;7.65;7.9;8.15;8.4;8.65;8.9;9.15;9.4;9.65;9.9;10.15;10.4;10.65;10.9;11.15;11.4;11.65;11.9;12.15;12.4;12.65;12.9;13.15;13.4;13.65;13.9;14.15;14.4;14.65;14.9;15.15;15.4;15.65;15.9,0.0;0.00011416320734535859;0.00076418596840566;0.0021204391100682267;0.004216406558221961;0.007002038738555581;0.010380167994315502;0.014240112230766653;0.018459235119863568;0.022921745777335828;0.027513430170642186;0.03213671994537898;0.03672428242289068;0.041179661181723164;0.04545110516714237;0.04952127372753143;0.05331997870210944;0.05688637748177926;0.06015243155497244;0.06313348372330342;0.06582511371875661;0.06823173486594483;0.07035861242506401;0.07221531742190698;0.07381145579159505;0.07515872414703197;0.07626886459630104;0.07715410104429922;0.07782691380384238;0.07829848224393042;0.07857907995164107;0.07868390766811251;0.07863103980710594;0.07843809886752265;0.07812732759890155;0.0777280082643937;0.07726698792126892;0.07676589579771471;0.07624719595157597;0.07573087807349337;0.07522584834950888;0.07473452513646646;0.07426711692154386;0.07382194367269002;0.07339446213721805;0.07298925688426076;0.07260476299583916;0.07223254735100158;0.07187809798980552;0.0715395233842963;0.07120915842225632;0.07089396396164672;0.0705900999913304;0.07029339545930825;0.070009080094184;0.06973464551244354;0.0694671280848374;0.06921130745945474;0.0689590774976886;0.06871487575698638;0.0684808916318817;0.06825064899147207;0.06807248820838714,188.36479999998343;180.27519999998432;176.48639999998474;175.30879999998487;175.1295999999849;175.79519999998482;177.51039999998463;179.91679999998436;182.68159999998406;186.0607999999837;189.79839999998327;193.53599999998286;197.50399999998243;201.80479999998195;206.0031999999815;210.25279999998102;214.52799999998055;219.00799999998006;222.97599999997962;227.27679999997915;231.06559999997873;234.70079999997833;237.84959999997798;241.10079999997762;243.40479999997737;245.11999999997718;246.42559999997704;246.34879999997705;245.8111999999771;243.71199999997734;240.17919999997773;235.51999999997824;228.78719999997898;220.67199999997987;210.86719999998095;200.19199999998213;187.31519999998355;172.67199999998516;155.1871999999871;134.37439999998938;109.82399999999208;78.56639999999553;25.164800000000458;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PbPb,10-20,0.219824,0.007139,8.799410774410783,0.11100940207320793,0.5049921849898461,false,0.04715730250831186,0.21452299343252723,0.3384670035993456,0.4;0.65;0.9;1.15;1.4;1.65;1.9;2.15;2.4;2.65;2.9;3.15;3.4;3.65;3.9;4.15;4.4;4.65;4.9;5.15;5.4;5.65;5.9;6.15;6.4;6.65;6.9;7.15;7.4;7.65;7.9;8.15;8.4;8.65;8.9;9.15;9.4;9.65;9.9;10.15;10.4;10.65;10.9;11.15;11.4;11.65;11.9;12.15;12.4;12.65;12.9;13.15;13.4;13.65;13.9;14.15;14.4;14.65;14.9;15.15;15.4;15.65;15.9,0.0;0.00021246896289198183;0.00144362190980473;0.003984807479957085;0.00784356800674716;0.012865855439412977;0.01882094403761445;0.0254579268068283;0.0325326349968397;0.03983138518262048;0.04715730250831186;0.05438167055953132;0.06131367192115311;0.06798514897284022;0.07420212554890207;0.08001694769724751;0.08538897960443396;0.09023618204693283;0.09464265118245763;0.0985470103936791;0.10198035157138974;0.10495015953695587;0.10746730334191557;0.1095483625105816;0.11121005466276138;0.11247338373244299;0.11335706690944125;0.11388324206954833;0.11407693954992074;0.1139731424260405;0.1136148775005649;0.11305070093925777;0.11233483733916895;0.1115221250331105;0.11066421675654117;0.10980154813219328;0.10895490123013007;0.1081399182426122;0.10737015112450787;0.10664491200587259;0.10595857097038935;0.10531108567523324;0.10470234472612618;0.10412233574703682;0.10356832434008163;0.10304483366276801;0.10254175884168182;0.10205789303695259;0.10159645097744342;0.10115219417759028;0.10072234506746482;0.10031038456250274;0.0999112980166179;0.09952553633337398;0.0991544404887287;0.09879312542485284;0.0984454609688149;0.09810931556643572;0.09778330035542021;0.09746719765876774;0.09716125608555513;0.09686400716113096;0.09657435721436998,159.99999999998656;151.88479999998745;148.37759999998784;147.35359999998795;147.32799999998795;147.99359999998788;149.14559999998775;151.27039999998752;154.00959999998722;156.69759999998692;160.17919999998654;163.83999999998613;167.60319999998572;171.08479999998534;174.9759999999849;178.86719999998448;182.65599999998406;186.54719999998363;190.00319999998325;193.2543999999829;196.45439999998254;199.34719999998222;201.52319999998198;203.3151999999818;204.39039999998167;204.36479999998167;203.67359999998175;201.52319999998198;198.24639999998234;193.2287999999829;186.57279999998363;177.51039999998463;166.50239999998584;153.08799999998732;137.881599999989;120.31999999999093;98.91839999999328;71.21919999999633;14.694400000000158;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PbPb,20-30,0.305442,0.00462,7.800672043010761,0.15351274144574603,0.5025921171474323,false,0.07886764034028548,0.2582082370475753,0.38518742517519766,0.4;0.65;0.9;1.15;1.4;1.65;1.9;2.15;2.4;2.65;2.9;3.15;3.4;3.65;3.9;4.15;4.4;4.65;4.9;5.15;5.4;5.65;5.9;6.15;6.4;6.65;6.9;7.15;7.4;7.65;7.9;8.15;8.4;8.65;8.9;9.15;9.4;9.65;9.9;10.15;10.4;10.65;10.9;11.15;11.4;11.65;11.9;12.15;12.4;12.65;12.9;13.15;13.4;13.65;13.9;14.15;14.4;14.65;14.9;15.15;15.4;15.65;15.9,0.0;0.00039053360672995017;0.0026870507340780326;0.007380991178138265;0.014376358814809715;0.023262454979761888;0.03351490410266546;0.04461928682229903;0.05611725966805802;0.0675788917259801;0.07886764034028548;0.08962234136738075;0.09969572897752918;0.10915902006007439;0.1177072260011022;0.1254677264023993;0.13232370205263802;0.13838945569057878;0.14360421552106006;0.1480217724927298;0.15161864401057798;0.15444406769303903;0.1565203610504951;0.1578725393783258;0.15853628926059118;0.1585686923243609;0.15805498459551234;0.15710756645065654;0.15585325404337713;0.15441869046723744;0.15291551011043644;0.15142254188255164;0.1499932689708496;0.14865289325842598;0.14740684628990605;0.1462500229862192;0.14517811726536434;0.14418395228957456;0.14325298703758566;0.14237681591983367;0.141551275475245;0.14077536760958365;0.1400326058010777;0.13932474106166412;0.13865428081634554;0.13800905515208753;0.13738896452862015;0.13679724479111782;0.13622783842467967;0.1356788038608044;0.1351505864254872;0.1346433501885237;0.13415608878212795;0.13368339776381394;0.13322771198019162;0.1327918968544606;0.13236575452614072;0.13195681346319127;0.13156247888847217;0.13117440501244923;0.1308078024504537;0.13045087781652898;0.1300958165330192,129.10079999998996;122.06079999999073;118.37439999999114;117.04319999999129;117.01759999999129;117.68319999999122;118.63039999999111;120.62719999999089;122.87999999999064;125.18399999999039;128.40959999999004;131.22559999998973;134.50239999998936;137.855999999989;140.72319999998868;144.1279999999883;147.27679999998796;150.22079999998763;153.11359999998731;155.49439999998705;157.7983999999868;159.05279999998666;160.28159999998653;159.79519999998658;159.02719999998666;156.13439999998698;151.91039999998745;145.40799999998816;136.26879999998917;124.79999999999043;110.515199999992;93.56799999999387;70.52799999999641;25.497600000000467;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PbPb,30-40,0.365468,0.007536,6.856309523809534,0.18069869681579934,0.49443096746035037,false,0.1089705043496938,0.29816701968351206,0.42703312078183614,0.4;0.65;0.9;1.15;1.4;1.65;1.9;2.15;2.4;2.65;2.9;3.15;3.4;3.65;3.9;4.15;4.4;4.65;4.9;5.15;5.4;5.65;5.9;6.15;6.4;6.65;6.9;7.15;7.4;7.65;7.9;8.15;8.4;8.65;8.9;9.15;9.4;9.65;9.9;10.15;10.4;10.65;10.9;11.15;11.4;11.65;11.9;12.15;12.4;12.65;12.9;13.15;13.4;13.65;13.9;14.15;14.4;14.65;14.9;15.15;15.4;15.65;15.9,0.0;0.000567684890054799;0.003990294627367137;0.010944396891185062;0.021178961735729713;0.03397533347430184;0.048471195537877876;0.06385010024690642;0.07938184501790051;0.09451757170388546;0.1089705043496938;0.12253787686376012;0.13478982844690313;0.14575435779104784;0.1554506039352808;0.16386145146135767;0.1709226758306565;0.1769204013568759;0.18149888035942627;0.18483212834194054;0.18693771866233552;0.18778602731785626;0.18755057040276846;0.18642386008743017;0.1846654986601593;0.18254926041754563;0.1803068001961567;0.17810250380697643;0.17603007255843775;0.1741317762688989;0.17240610052136035;0.17084143192679982;0.1694180611008283;0.1681151486649053;0.16691591253261753;0.16580561599271937;0.1647684443810111;0.1637929592644217;0.16287227594450435;0.16200758001874704;0.1611867316371804;0.1603977412649012;0.15964805412537292;0.15893844999896073;0.15825736356823736;0.15760152401582914;0.15697298391135214;0.1563666329353891;0.15578966602487973;0.15522696983574777;0.15468253257476472;0.15416875183770418;0.1536684703404276;0.1531786485562436;0.1527196127696255;0.15227284167176416;0.15183636520873375;0.1514200267021165;0.1510179143927433;0.1506307636820322;0.1502508174168343;0.14988741903103564;0.1495421903126098,104.60159999999266;97.8175999999934;95.00159999999372;93.77279999999385;93.51679999999388;93.95199999999383;95.00159999999372;96.66559999999353;98.55999999999332;100.71039999999309;102.93759999999284;105.52319999999256;108.05759999999228;110.48959999999201;112.74239999999176;115.25119999999148;117.40159999999125;119.19359999999105;120.4991999999909;121.4975999999908;122.03519999999074;121.26719999999082;119.75679999999099;116.32639999999137;110.97599999999196;103.01439999999283;92.26239999999402;75.59679999999585;48.409599999998846;7.29599999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PbPb,40-50,0.442806,0.001117,5.834050632911403,0.20573820331256104,0.46462379306640167,false,0.14552577585553386,0.32864454378561686,0.4716408301677667,0.4;0.65;0.9;1.15;1.4;1.65;1.9;2.15;2.4;2.65;2.9;3.15;3.4;3.65;3.9;4.15;4.4;4.65;4.9;5.15;5.4;5.65;5.9;6.15;6.4;6.65;6.9;7.15;7.4;7.65;7.9;8.15;8.4;8.65;8.9;9.15;9.4;9.65;9.9;10.15;10.4;10.65;10.9;11.15;11.4;11.65;11.9;12.15;12.4;12.65;12.9;13.15;13.4;13.65;13.9;14.15;14.4;14.65;14.9;15.15;15.4;15.65;15.9,0.0;0.0008258438100086733;0.005949817009599682;0.016246218368305785;0.031073501260324776;0.04911354519703968;0.06894610347224063;0.08933663325669439;0.10923341449725325;0.128198187574725;0.14552577585553386;0.1613921004735052;0.17522933867316995;0.18712542762831263;0.1968609093888569;0.2043505637181107;0.21019303535024006;0.21328385067789704;0.21427886525534642;0.21347928395977697;0.21123260976213165;0.20819473989814724;0.20485797252776727;0.20157096534456312;0.19853384239952404;0.19581659397989656;0.1934244045504399;0.19132245214258417;0.18946426639524408;0.18780536292591707;0.18630552867422864;0.18494467505030224;0.1836919595476167;0.18252959393262147;0.18144162911209627;0.18043019630549018;0.17948082718794586;0.1785796141563852;0.17772251386294474;0.17690955076704193;0.1761264543807293;0.17538569836876855;0.17468393297566942;0.17399586969250205;0.1733386691847528;0.17271279423337205;0.17210791228732833;0.17153384203140598;0.17097638980301438;0.17042998371662757;0.16992054441676116;0.16943114862582745;0.16894075432693959;0.16848338559673254;0.16804409463740086;0.1676286140713167;0.16722619180524773;0.1668283631466076;0.16646423199011806;0.16611974300302682;0.16577430568154464;0.16545768325602633;0.16515963561286867,80.07679999999536;74.49599999999597;72.14079999999623;71.32159999999632;71.24479999999633;71.67999999999628;72.55039999999619;73.77919999999605;75.49439999999586;77.13279999999568;78.97599999999548;80.79359999999528;82.35519999999511;84.14719999999491;85.96479999999471;87.34719999999456;88.42239999999444;89.21599999999435;89.11359999999436;88.42239999999444;85.35039999999478;79.51359999999542;69.40159999999653;55.06559999999811;27.468800000000524;6.195199999999977;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
OO,00-05,0.336896,0.014465,5.195642809807823,0.1523311082584947,0.4521606319412955,false,0.13592854766263684,0.4034733201422304,0.6382652755421706,0.4;0.65;0.9;1.15;1.4;1.65;1.9;2.15;2.4;2.65;2.9;3.15;3.4;3.65;3.9;4.15;4.4;4.65;4.9;5.15;5.4;5.65;5.9;6.15;6.4;6.65;6.9;7.15;7.4;7.65;7.9;8.15;8.4;8.65;8.9;9.15;9.4;9.65;9.9;10.15;10.4;10.65;10.9;11.15;11.4;11.65;11.9;12.15;12.4;12.65;12.9;13.15;13.4;13.65;13.9;14.15;14.4;14.65;14.9;15.15;15.4;15.65;15.9,0.0;0.0013036367704825145;0.00855371873154981;0.022202302992117923;0.04022642824026375;0.059951007184590954;0.07916362928830584;0.09658198122512932;0.11172954337148684;0.12495229593354383;0.13592854766263684;0.14556260982695426;0.15267535166942062;0.15897378955478775;0.1632079607926507;0.1648788743828126;0.16394037004858053;0.16132564871128013;0.1571734177940353;0.15307198695331445;0.14901396172470116;0.14561466399380948;0.14249580337967918;0.13964839663830883;0.1370794259300792;0.1352646449685663;0.1335444331172855;0.13173104265570879;0.13024792080268047;0.1293637884076916;0.12932791550080203;0.13031812567025414;0.13213453906439998;0.13430127956416027;0.1368202830203269;0.13953897692234302;0.14192251092402577;0.14353459787998896;0.14378006342442992;0.14252461205075137;0.13909030163628472;0.13369748139165202;0.12701161797902613;0.11930954439724095;0.1112010757667938;0.10275447338178348;0.09412763405397351;0.08554212848240868;0.07721749858992019;0.06931663509598787;0.06172468202624136;0.054484055246154225;0.04766011289150817;0.041264995779565494;0.03527028515416723;0.029694347122895346;0.02455368697278546;0.01981139720107141;0.015420174048979622;0.011351851721298488;0.007575934858315576;0.004060984524276333;0.000790593699015552,45.52199999999654;42.063299999997014;40.84829999999718;40.670099999997205;41.06699999999715;41.85269999999704;43.11629999999687;44.69579999999665;46.69649999999638;48.61619999999611;50.414399999995865;52.3502999999956;54.24569999999534;56.03579999999509;58.06889999999481;59.76989999999458;61.0577999999944;61.470899999994344;60.13439999999453;45.43289999999655;20.98709999999991;8.359199999999971;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
OO,05-10,0.345921,0.003862,4.820537173202618,0.14650388495195044,0.42351833208145917,false,0.13616652962580886,0.3936347594560864,0.6242262882755002,0.4;0.65;0.9;1.15;1.4;1.65;1.9;2.15;2.4;2.65;2.9;3.15;3.4;3.65;3.9;4.15;4.4;4.65;4.9;5.15;5.4;5.65;5.9;6.15;6.4;6.65;6.9;7.15;7.4;7.65;7.9;8.15;8.4;8.65;8.9;9.15;9.4;9.65;9.9;10.15;10.4;10.65;10.9;11.15;11.4;11.65;11.9;12.15;12.4;12.65;12.9;13.15;13.4;13.65;13.9;14.15;14.4;14.65;14.9;15.15;15.4;15.65;15.9,0.0;0.0012973615649464608;0.008709736441331464;0.02264567183960098;0.0409057180634467;0.06068515805554021;0.07977312138604627;0.09695361794966265;0.1119843870072334;0.1248246155358547;0.13616652962580886;0.14541659444418495;0.15289228222109538;0.15728385454370233;0.15927524577554142;0.1577573220138151;0.15443107166773773;0.1498074872563288;0.14496455148705037;0.140528252204534;0.1366995152983212;0.13378899702540417;0.13113554094403126;0.12919992358960042;0.12689134317203443;0.12506752107045876;0.1236495665073274;0.12230906093455844;0.12105252905279798;0.12013975956211706;0.11948753927280688;0.11979487596175624;0.12111439348265617;0.12322272782071625;0.12565393713182998;0.12808887265365643;0.13023301683663782;0.13186682772513228;0.13261471232620314;0.1318509310805557;0.12960023734580053;0.12542851978317637;0.1195972407767852;0.1124148873148997;0.10463719956034623;0.0966764053648257;0.08870275811359561;0.08072816089882869;0.07285626097640216;0.06537696084618487;0.058312895130039614;0.05166890843333859;0.045528163869951545;0.039805537760400016;0.03441418055096073;0.029371437504789336;0.024636074982468878;0.020201373958679356;0.016074856592087974;0.012263596548748878;0.008758675329238342;0.005539543185926342;0.002574731765718308,41.30189999999712;37.86749999999759;36.87929999999773;36.70919999999775;37.0898999999977;37.89989999999759;39.009599999997434;40.48379999999723;42.265799999996986;44.015399999996745;45.554399999996534;47.02049999999633;48.65669999999611;50.07419999999591;51.16769999999576;51.98579999999565;52.155899999995626;50.697899999995826;30.86909999999855;12.61980000000032;1.3688999999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
OO,10-20,0.402911,0.025004,4.504489567809244,0.16899408029378407,0.4194327786875614,false,0.16479880240745381,0.4090203603462149,0.6200692434639242,0.4;0.65;0.9;1.15;1.4;1.65;1.9;2.15;2.4;2.65;2.9;3.15;3.4;3.65;3.9;4.15;4.4;4.65;4.9;5.15;5.4;5.65;5.9;6.15;6.4;6.65;6.9;7.15;7.4;7.65;7.9;8.15;8.4;8.65;8.9;9.15;9.4;9.65;9.9;10.15;10.4;10.65;10.9;11.15;11.4;11.65;11.9;12.15;12.4;12.65;12.9;13.15;13.4;13.65;13.9;14.15;14.4;14.65;14.9;15.15;15.4;15.65;15.9,0.0;0.0016777756052150919;0.011406131081560791;0.02932041977954697;0.05209567473161899;0.07603252750184156;0.09861077010725074;0.11856772356571621;0.1359301482326663;0.15098106778066392;0.16479880240745381;0.17510297115319362;0.18226951153211238;0.18514422848736742;0.18303953846916746;0.17775716925950402;0.17168191544462166;0.165251045820047;0.15955957751663172;0.15473415529089696;0.15106315999961825;0.14784979970268575;0.14513549720639904;0.14279369236618641;0.14073517705149094;0.13880523506686443;0.1375133345093554;0.13607141361339734;0.13504200655200613;0.13376937443713163;0.13314754700915576;0.13321810198689002;0.13387711431964147;0.13550476463812966;0.13815796158137436;0.1409796714827559;0.14308982711786167;0.1445669410250866;0.14518189961253397;0.14462596807062864;0.14242053385582926;0.13874601811310824;0.13366564386667476;0.12693456437994713;0.11899418419922307;0.11011341633057031;0.10083873372519091;0.09154787876280601;0.08246084011490445;0.07383753588754877;0.06554111063990661;0.05781923878083397;0.050538584231476016;0.043861199600943986;0.03779095661325704;0.03224571530618219;0.027188308375317185;0.02262168280481993;0.01839171829304071;0.014451827902282745;0.01079872608912457;0.007416528476032666;0.004275019950252185,37.24379999999768;33.95519999999813;32.91029999999827;32.610599999998314;32.93459999999827;33.58259999999818;34.65179999999803;35.90729999999786;37.57589999999763;39.05819999999743;40.47569999999723;41.78789999999705;42.95429999999689;44.10449999999673;44.63909999999666;44.47709999999668;42.60599999999694;20.865599999999926;7.613999999999952;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
OO,20-30,0.449538,0.014429,4.1130217785844,0.17775437264894275,0.3954156770927992,false,0.18440298005342215,0.410205544477713,0.6203030971900837,0.4;0.65;0.9;1.15;1.4;1.65;1.9;2.15;2.4;2.65;2.9;3.15;3.4;3.65;3.9;4.15;4.4;4.65;4.9;5.15;5.4;5.65;5.9;6.15;6.4;6.65;6.9;7.15;7.4;7.65;7.9;8.15;8.4;8.65;8.9;9.15;9.4;9.65;9.9;10.15;10.4;10.65;10.9;11.15;11.4;11.65;11.9;12.15;12.4;12.65;12.9;13.15;13.4;13.65;13.9;14.15;14.4;14.65;14.9;15.15;15.4;15.65;15.9,0.0;0.0022046150198855572;0.014969902368633083;0.03750844618950601;0.06454385364380846;0.09129159698603578;0.11535779977075065;0.13599038484281842;0.1536200218157872;0.1700966762979598;0.18440298005342215;0.19358932532083928;0.1949369648004403;0.1910636776029081;0.1845747189464366;0.1765704360712098;0.16952482041279512;0.16232715470809195;0.15673878724832552;0.15255197804448886;0.14932440853762013;0.14611809433031905;0.14389668917047374;0.14180181412589607;0.1401516831548163;0.13870937555828344;0.13725494458503715;0.1358121891027122;0.13448185781173203;0.13346128992589396;0.13232657082167837;0.1314465048605385;0.13079692400691978;0.13154098091828717;0.1333311864571388;0.1361422885155647;0.13890314474382368;0.14030441869820415;0.14026100768494762;0.13890631534449258;0.13634829596629297;0.13263025165705147;0.12768146341287342;0.12171305677014213;0.11483089777927319;0.10732336003234426;0.09938337803282259;0.09128641012933433;0.08293331773540377;0.07449474425107386;0.06612635362246079;0.058324041567589344;0.051197773070881365;0.04464651967139616;0.038601815270095215;0.03287815619519332;0.027560626257444473;0.022538905296188485;0.017720016998719956;0.013251162348584557;0.009517909683394912;0.006595741916597395;0.004010735196556642,31.103999999998518;28.058399999998937;26.972999999999086;26.827199999999106;27.134999999999064;27.80729999999897;28.68209999999885;29.945699999998677;31.322699999998488;32.56199999999832;33.67979999999817;34.54649999999805;35.33219999999794;35.69669999999789;35.5994999999979;26.673299999999127;10.011600000000106;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
