r,tau,Dtau,Sr,E,nur,Pi,piR,piEta,piPhi,D,T,mu,alpha,phi,ur,v,n,e,P,ok
0.024999999999999994,8.804805443061001,0.09503811183995134,0.0,0.3293190785340274,-1.6563905160700768e-6,-0.006966344088941695,-0.0019607231289090173,0.0015316704408264692,0.00042905268808254805,0.01079389118300736,0.11609065363361248,1.3744467148816266,11.839426102461655,-1.0815107089897642,0.0,0.0,0.010793891183007335,0.3293190785340311,0.10494852745876247,true
0.07499999999999998,8.804805443061001,0.09455971801758467,0.004664981521279324,0.32713749043437157,-4.973419044977131e-6,-0.006972716322962327,-0.0022388215987922608,0.002113531847228121,0.0001252897515641397,0.010739557918580297,0.11589080570190397,1.3743978659206062,11.859421095542752,-1.0837972289403999,0.011051106754509394,0.011050431997274261,0.01073895713893226,0.32708594037330646,0.10422781689923001,true
0.125,8.804805443061001,0.09482674264046864,0.00725317681434326,0.3283519174520543,-8.266851759332704e-6,-0.0069716154146117395,-0.0014300710194692823,0.0019933248093083676,-0.0005632537898390853,0.010769885064888159,0.11599291881546275,1.3744384116452952,11.849330335690043,-1.0824935663052426,0.01708704254766394,0.0170845486672763,0.010768454398260232,0.32822800019978066,0.10459576990945198,true
0.175,8.804805443061001,0.09477769092742,0.010262089804637237,0.32817601919863654,-1.1611714164744528e-5,-0.006971494714986576,-0.0012489348034812303,0.0020094220775010584,-0.0007604872740198281,0.01076431404876908,0.11596599610203939,1.3744360749036144,11.852061130870098,-1.0827650286891073,0.024184203972095607,0.02417713469605372,0.010761448191881745,0.32792791127117266,0.10449875255876301,true
0.22499999999999998,8.804805443061001,0.09478369320165879,0.013155316012561886,0.3282615562067825,-1.4917408586950836e-5,-0.006970838267785979,-0.0011180483519931585,0.0019970783895099345,-0.000879030037516776,0.010764995753126729,0.1159592736769112,1.3744418666724179,11.852798168621893,-1.0827778524847917,0.030994272217473702,0.03097939568998444,0.010760290716830434,0.32785401246660817,0.10447460708058609,true
0.275,8.804805443061001,0.09476928810408779,0.016091843136692256,0.3283148662014639,-1.824327321751792e-5,-0.0069700912551268965,-0.0010588673826165845,0.0019933983343870423,-0.0009345309517704578,0.010763359703623517,0.115945988456585,1.374435188804656,11.854098680777573,-1.082959513018087,0.037916005889165494,0.03788878076965978,0.010756321925250556,0.3277051658846841,0.10442670682515427,true
0.325,8.804805443061001,0.09475614674160089,0.01901176430479572,0.3284376690771438,-2.155354277405151e-5,-0.006969160183250265,-0.0010165383559529867,0.0019850369328825073,-0.0009684985769295206,0.01076186718200315,0.11593560499770086,1.3744173435991995,11.855006437637996,-1.0832104287832105,0.044795168442974,0.04475029281563069,0.010752049545969904,0.3275868870575688,0.1043891446502727,true
0.375,8.804805443061001,0.09473960781031285,0.021938439475158583,0.32859388754385366,-2.487213679530558e-5,-0.006968119077680762,-0.00098993408409706,0.001977270366336189,-0.0009873362822391289,0.010759988783735863,0.11592467823215497,1.3743917701533286,11.855903256431057,-1.0835331334293101,0.0516905504842177,0.05162163223403476,0.010746924877495134,0.32746138948948883,0.1043495549929036,true
0.42500000000000004,8.804805443061001,0.09472258248427484,0.024864266289291947,0.3287927185682019,-2.818574052846011e-5,-0.006966958930169828,-0.0009690289326772566,0.0019683026430291272,-0.0009992737103518706,0.010758055143504048,0.11591408541485602,1.3743597486472459,11.856710456959723,-1.0839084042555156,0.058581321760471566,0.05848106089290026,0.010741288438554316,0.32733862989729207,0.10431110841473949,true
0.475,8.804805443061001,0.09470368815584512,0.027792578483807916,0.32902588342999683,-3.150250507151527e-5,-0.006965688885726712,-0.0009518385608863038,0.0019587453262322006,-0.0010069067653458968,0.010755909232552137,0.11590304899280074,1.3743216679877581,11.857510910460375,-1.084340171413854,0.0654758822179724,0.06533598134578547,0.010734981167999057,0.3272100280406406,0.1042710124952052,true
0.525,8.804805443061001,0.0946827290401134,0.030722485912601356,0.3292925528280898,-3.481625446421725e-5,-0.0069643064102653685,-0.000935999214200515,0.0019483125630269011,-0.001012313348826386,0.010753528814737427,0.1158915095786204,1.3742774739113557,11.858310232632276,-1.0848294801385305,0.07237146541463786,0.07218267924250758,0.01072798403633055,0.3270749214819435,0.10422905467925354,true
0.5750000000000001,8.804805443061001,0.09465855169364329,0.03365455969044412,0.3295901731655511,-3.812220852427865e-5,-0.006962811433562562,-0.0009206360332688897,0.0019370565041510442,-0.0010164204708821545,0.010750782888478581,0.11587924649266111,1.3742263523842728,11.859123993106959,-1.0853854458200392,0.07926938549725591,0.07902150312781576,0.010720167294835537,0.3269307392717296,0.10418443504007487,true
0.625,8.804805443061001,0.0946305689115629,0.03658881199371257,0.32991769926501857,-4.1402737167572225e-5,-0.006961201958963364,-0.0009050691224179914,0.001924919011112466,-0.0010198498886944745,0.010747604762367637,0.11586617770872304,1.3741678038426355,11.859956296281453,-1.0860131804269502,0.0861694260129135,0.08585128528983169,0.010711465561115631,0.326776502728156,0.10413685624531949,true
0.675,8.804805443061001,0.0945996961698599,0.03952546649195936,0.3302743068610148,-4.4641421101759984e-5,-0.0069594750510556585,-0.0008889385309347759,0.0019118820868880538,-0.0010229435559532779,0.010744098410989103,0.11585221222505683,1.3741031847146328,11.860828190706211,-1.0867018666920019,0.0930719390111194,0.09267142666236604,0.010701982990323676,0.326611425491743,0.1040860092078223,true
0.725,8.804805443061001,0.09456788727518423,0.042464654285208944,0.33065967224456105,-4.786967860044816e-5,-0.0069576267545803025,-0.0008719922837275747,0.0018979143555004946,-0.00102592207177292,0.010740485736651052,0.11583728856186604,1.374035093334039,11.861768437373243,-1.0874296889182276,0.09997698636946771,0.09948104625216445,0.010691945600723495,0.3264352440075723,0.10403170473646067,true
0.775,8.804805443061001,0.0945358731493337,0.045406513768270235,0.3310734721959182,-5.1133653670406845e-5,-0.00695565398499344,-0.0008541019910117582,0.0018830072502189568,-0.0010289052592071986,0.010736849753317002,0.11582136703158011,1.37396459977069,11.86279038992919,-1.0881878142134598,0.10688467971945922,0.10627931851534243,0.010681443284565745,0.3262476988565232,0.10397381599739568,true
0.8250000000000001,8.804805443061001,0.09450306450838282,0.04835118801925792,0.33151534304174146,-5.440889248906695e-5,-0.006953555065367048,-0.0008352059135073074,0.0018671638113228863,-0.0010319578978155788,0.010733123533451832,0.1158044289960692,1.3738910286786359,11.863890186145388,-1.0889822817195074,0.1137951766152838,0.1130654695937409,0.010670410126826813,0.3260484932629929,0.10391227348642085,true
0.8750000000000001,8.804805443061001,0.09446898857647883,0.051298827460626355,0.33198496766125396,-5.76895744437205e-5,-0.006951329070321302,-0.00081526867686651,0.0018503876788609017,-0.0010351190019943918,0.01072925338184833,0.1157864579310251,1.3738138588913476,11.865065081356398,-1.0898177849418498,0.12070866828375372,0.11983876525905297,0.010658795219281888,0.3258373795192199,0.10384701735585272,true
0.9249999999999999,8.804805443061001,0.0944334020894228,0.05424956779401441,0.3324821051535533,-6.097564299919189e-5,-0.006948975444417737,-0.0007942681383855778,0.0018326814694297477,-0.00103841333104417,0.010725211669934743,0.11576744087871012,1.3737328481079762,11.866314377176568,-1.0906965804341673,0.1276253096339287,0.12659844258245173,0.010646574448361375,0.32561419436015865,0.10377800393970485,true
0.975,8.804805443061001,0.09439616736041004,0.05720354207791961,0.3330065472514231,-6.426790964712368e-5,-0.006946493872315322,-0.0007721956402688703,0.0018140498890736672,-0.001041854248804797,0.010720982760022589,0.1157473663959833,1.3736478814353799,11.86763832479776,-1.0916198139001878,0.1345452582927567,0.1333437487567822,0.01063373595514498,0.32537881250871586,0.1037051967624276,true
1.025,8.804805443061001,0.09435718173520044,0.060160878192484085,0.33355810662386887,-6.756683742013157e-5,-0.006943884201562835,-0.0007490507266185648,0.0017944989852126101,-0.0010454482585940453,0.01071655499322391,0.11572622480692268,1.373558882884016,11.869037335104103,-1.0925882817566896,0.141468668507212,0.1400739355271152,0.010620272023448712,0.3251311356508414,0.10362856649313033,true
1.0750000000000002,8.804805443061001,0.09431635491084547,0.06312169979761162,0.3341366051255219,-7.08726772059728e-5,-0.006941146401237629,-0.0007248385756234818,0.0017740359987669973,-0.0010491974231435154,0.010711918113440595,0.11570400747720927,1.373465789578258,11.870511830359858,-1.0936026606223295,0.14839569599196045,0.14678826430454636,0.010606176518380412,0.3248710803724743,0.10354808806696657,true
1.125,8.804805443061001,0.0942736040664656,0.0660861252534705,0.33474186912070253,-7.418560537316111e-5,-0.006938280530074456,-0.0006995678527487749,0.0017526689810878036,-0.0010531011283390287,0.010707062714345595,0.11568070648877367,1.3733685468411085,11.87206223515231,-1.0946635528300521,0.1553264960196898,0.1534860046692592,0.010591444350944335,0.32459857379173923,0.10346373946720905,true
1.1750000000000003,8.804805443061001,0.0942288522011826,0.06905426717998032,0.3353737255016339,-7.750579171252674e-5,-0.0069352867143276965,-0.0006732496090859376,0.0017304066599411242,-0.0010571570508551866,0.010701980050614705,0.11565631430695177,1.373267107139389,11.873689001490565,-1.095771498685857,0.16226122352232294,0.16016643482970994,0.01057607129652238,0.324313549717972,0.10337550052463047,true
1.225,8.804805443061001,0.09418202663377806,0.07202623184417858,0.3360319992208383,-8.083340500914598e-5,-0.00693216513150733,-0.0006458965529508838,0.0017072583306000375,-0.0010613617776491537,0.010696661867526236,0.11563082359562094,1.3731614287518188,11.87539261636654,-1.0969269897424196,0.1692000324944316,0.16682884140069068,0.010560053825479825,0.32401594641221787,0.10328335224595173,true
1.275,8.804805443061001,0.09413305752875015,0.07500211870475451,0.3367165113810029,-8.41686084395612e-5,-0.0069289159988355385,-0.0006175226198118107,0.001683233797174026,-0.0010657111773622152,0.0106911002335589,0.11560422708130215,1.3730514743122042,11.877173603233077,-1.09813048270731,0.17614307581391916,0.17347251958109247,0.010543388935264825,0.3237057048758774,0.10318727631789813,true
1.3250000000000002,8.804805443061001,0.09408187671349057,0.07798201997240327,0.33742707790460125,-8.751155362939407e-5,-0.006925539564846306,-0.0005881426835231734,0.0016583433239381268,-0.0010702006404149534,0.010685287406053448,0.11557651746770294,1.3729372095672034,11.879032520173151,-1.0993824110360773,0.18309050500896337,0.18009677327410417,0.010526074015476101,0.3233827677348203,0.10308725479522968,true
1.375,8.804805443061001,0.09402841681898812,0.08096602021782048,0.33816350854004895,-9.086237727717017e-5,-0.006922036103256475,-0.0005577723688170693,0.001632597599451618,-0.0010748252306345487,0.010679215733618644,0.11554768737575521,1.3728186024613083,11.880969958290656,-1.1006831934688945,0.19004247010789685,0.18670091528085908,0.010508106749819264,0.32304707845952313,0.1029832698843976,true
1.4250000000000003,8.804805443061001,0.09397261068387941,0.08395419599950735,0.33892560612534306,-9.422119888339878e-5,-0.00691840590842455,-0.0005264279247507795,0.0016060077075696253,-0.0010795797828188458,0.010672877588446716,0.1155177293035842,1.3726956224900226,11.882986540382348,-1.102033240070167,0.19699911949443497,0.19328426749231087,0.010489485047987903,0.32269858084967296,0.10287530380206292,true
1.475,8.804805443061001,0.09391439094231123,0.0869466155114004,0.3397131660175948,-9.75881191074943e-5,-0.006914649291963341,-0.0004941261403170274,0.0015785851048104413,-0.001084458964493414,0.010666265319505092,0.11548663559899247,1.3725682402433252,11.885082919978144,-1.1034329565124719,0.20396059978554684,0.19984616109547348,0.0104702069983629,0.3223372186886513,0.10276333868098787,true
1.525,8.804805443061001,0.09385368973726962,0.08994333824341738,0.34052597563966003,-0.00010096321831709212,-0.006910766580191761,-0.0004608842870927497,0.0015503416021032663,-0.0010894573150105166,0.010659371219977948,0.11545439844110783,1.372436427076409,11.887259780548556,-1.1048827471797018,0.21092705571834688,0.20638593678064346,0.01045027083484788,0.321962935520697,0.10264735651053968,true
