r,tau,Dtau,Sr,E,nur,Pi,piR,piEta,piPhi,D,T,mu,alpha,phi,ur,v,n,e,P,ok
-0.025,1.2,0.38110553387992596,5.107627673543111e-6,-0.009820968009820371,8.99421048676815e-7,-7.544964734239873e-11,0.0,-3.986571829009432,1.993492117720697,0.27594684110152634,0.36238863833635265,1.6301189488930912,4.4982617456678895,0.0,-0.0005228212732437495,0.0,-0.009820966681685807,0.0,9.846077396200108,true
0.025,1.2,0.38110553387992596,5.107627673543111e-6,0.009820968009820371,-8.99421048676815e-7,-7.544964734239873e-11,0.0,-3.986571829009432,1.993492117720697,0.27594684110152634,0.36238863833635265,1.6301189488930912,4.4982617456678895,0.0,0.0005228212732437495,0.0,0.009820966681685807,0.0,9.846077396200108,true
0.07500000000000001,1.2,0.38112340839908543,4.495147595448913e-5,0.02945700952973519,-5.318990796858843e-6,-7.544539268402862e-11,0.0,-3.9862953737126388,1.9935810021034415,0.2759551852093938,0.36237768072421017,1.6300625136534204,4.498242028581196,0.0,0.0015422556037373142,0.0,0.02945697523556825,0.0,9.844886581387387,true
0.12500000000000003,1.2,0.38117632443940985,0.00012428986688901506,0.04906904668549276,-1.1187796003102298e-5,-7.544249827894777e-11,0.0,-3.9853508998521674,1.9932714813778127,0.2759798861422103,0.36234524695930476,1.6299187327693347,4.498247862907367,0.0,0.002567167059980284,0.0,0.04906888930338948,0.0,9.841362485925245,true
0.17500000000000002,1.2,0.38126273106421066,0.00024299079550701373,0.0686376008264532,-1.716333500140839e-5,-7.54404599219438e-11,0.0,-3.98378876992088,1.992576620100943,0.2760202167374823,0.36229230301310916,1.62968546788929,4.4982613606072706,0.0,0.0035927339803877513,0.0,0.06863717080180128,0.0,9.835611886566763,true
0.225,1.2,0.38138192273275046,0.0004008079553238677,0.08814380102601574,-2.3241062570950953e-5,-7.543904274296954e-11,0.0,-3.981628485208942,1.9915405671913757,0.2760758426052751,0.36221930559486504,1.6293642462650957,4.498281071985453,0.0,0.0046184444641202155,0.0,0.08814288996664836,0.0,9.82768727751613,true
0.275,1.2,0.381533395656799,0.0005973891525411609,0.10756931385554333,-2.947004276616253e-5,-7.543807167895838e-11,0.0,-3.9788825421266383,1.9901926716897458,0.2761465217521233,0.36212659629210453,1.6289567281980628,4.498307345766139,0.0,0.005644022489659388,0.0,0.10756765547378844,0.0,9.817629647846566,true
0.325,1.2,0.38171684455001614,0.0008323066486519942,0.12689617553890387,-3.585082028018133e-5,-7.543743225279262e-11,0.0,-3.975558988786949,1.9885501656440914,0.27623210309495966,0.36201440339330593,1.6284642030146506,4.498340916135943,0.0,0.006669284271579083,0.0,0.12689344674775568,0.0,9.805468653455556,true
0.375,1.2,0.381932113512096,0.0011050695351055568,0.14610669881034283,-4.2350695752860746e-5,-7.543705569287246e-11,0.0,-3.971663134311327,1.9866226987170295,0.27633250353111843,0.3618828719826612,1.627887628359479,4.4983826381190966,0.0,0.007694099602442702,0.0,0.1461025209288244,0.0,9.79122587839385,true
0.425,1.2,0.3821791436325963,0.0014151257553911448,0.1651834349242245,-4.892582218356088e-5,-7.543690227903659e-11,0.0,-3.96719874008905,1.9844157015900035,0.27644768346647175,0.36173209609162177,1.627227727193316,4.4984333565500405,0.0,0.00871837274700625,0.0,0.16517737500948904,0.0,9.774918323637351,true
0.475,1.2,0.38245793278221646,0.0017618607651671459,0.1841091662940135,-5.553684036693373e-5,-7.543694827881468e-11,0.0,-3.96216883202724,1.981932440170664,0.2765776280338043,0.3615621433696642,1.6264850643972768,4.4984938114340824,0.0,0.009742040024257227,0.0,0.184100738624613,0.0,9.756561080263323,true
0.525,1.2,0.3827685087623594,0.002144596735401312,0.2028669160355791,-6.215724857411303e-5,-7.54371771561727e-11,0.0,-3.956576242625776,1.9791751062760654,0.27672233455201883,0.36137307153717224,1.6256601011059573,4.498564583661114,0.0,0.010765076127551716,0.0,0.20285558375328008,0.0,9.736169104670113,true
